ts_code,trade_date,open,close,high,low,volume,amount,pct_chg,adjust_type
000816.SZ,2026-06-02,2.76,2.79,2.82,2.71,291999.0,80824373.48,1.09,qfq
000816.SZ,2026-06-03,2.81,2.7,2.84,2.68,414803.0,112786585.7,-3.23,qfq
000816.SZ,2026-06-04,2.69,2.61,2.72,2.6,256802.0,67904767.89,-3.33,qfq
000816.SZ,2026-06-05,2.61,2.67,2.72,2.61,331449.0,88519314.63,2.3,qfq
000816.SZ,2026-06-08,2.62,2.54,2.69,2.52,323769.0,83869693.5,-4.87,qfq
000816.SZ,2026-06-09,2.55,2.53,2.56,2.47,256376.0,64510104.0,-0.39,qfq
000816.SZ,2026-06-10,2.51,2.47,2.53,2.43,228003.0,56270455.56,-2.37,qfq
000816.SZ,2026-06-11,2.47,2.47,2.49,2.42,198861.0,48804069.0,0.0,qfq
000816.SZ,2026-06-12,2.51,2.55,2.58,2.45,323847.0,82084700.51,3.24,qfq
000816.SZ,2026-06-15,2.57,2.53,2.6,2.49,269653.0,68254472.0,-0.78,qfq
000816.SZ,2026-06-16,2.51,2.5,2.52,2.45,207016.0,51411649.8,-1.19,qfq
000816.SZ,2026-06-17,2.49,2.42,2.5,2.4,241463.0,58670785.25,-3.2,qfq
000816.SZ,2026-06-18,2.41,2.4,2.44,2.35,220989.0,53024399.8,-0.83,qfq
000816.SZ,2026-06-22,2.4,2.44,2.45,2.33,285683.0,68337407.44,1.67,qfq
000816.SZ,2026-06-23,2.44,2.51,2.65,2.41,532736.0,135212041.52,2.87,qfq
000816.SZ,2026-06-24,2.49,2.4,2.51,2.34,408532.0,98018892.6,-4.38,qfq
000816.SZ,2026-06-25,2.39,2.34,2.42,2.33,218435.0,51616621.34,-2.5,qfq
000816.SZ,2026-06-26,2.33,2.27,2.35,2.26,224229.0,51547844.0,-2.99,qfq
000816.SZ,2026-06-29,2.25,2.27,2.31,2.2,261999.0,59176372.26,0.0,qfq
000816.SZ,2026-06-30,2.27,2.3,2.31,2.23,238656.0,54564361.06,1.32,qfq
000816.SZ,2026-07-01,2.31,2.38,2.42,2.3,319540.0,75891144.56,3.48,qfq
000816.SZ,2026-07-02,2.39,2.41,2.48,2.38,283662.0,69239155.0,1.26,qfq
000816.SZ,2026-07-03,2.44,2.47,2.48,2.41,288075.0,70578750.14,2.49,qfq
