ts_code,trade_date,open,high,low,close,volume,amount,pct_chg
002202.SZ,2025-11-13,15.05,15.54,15.05,15.35,898415,1374591522.29,2.47
002202.SZ,2025-11-14,15.12,15.62,14.98,15.2,720283,1103452699.51,-0.98
002202.SZ,2025-11-17,15.13,15.18,14.8,14.92,669057,999582632.36,-1.84
002202.SZ,2025-11-18,14.97,15.03,14.58,14.69,621297,915691015.36,-1.54
002202.SZ,2025-11-19,14.69,14.94,14.56,14.89,652729,963934147.8,1.36
002202.SZ,2025-11-20,14.89,15.22,14.75,14.76,551057,824392257.48,-0.87
002202.SZ,2025-11-21,14.55,14.76,14.27,14.28,763695,1105389869.63,-3.25
002202.SZ,2025-11-24,14.1,15.0,13.96,14.73,893233,1312247241.49,3.15
002202.SZ,2025-11-25,14.8,15.02,14.7,14.88,666049,992421710.51,1.02
002202.SZ,2025-11-26,15.0,15.58,14.91,15.4,1061515,1625687576.84,3.49
002202.SZ,2025-11-27,15.37,15.46,15.12,15.19,657347,1005830896.21,-1.36
002202.SZ,2025-11-28,15.27,15.56,15.18,15.41,721192,1110991648.82,1.45
002202.SZ,2025-12-01,15.4,15.4,14.8,15.04,961373,1439310536.58,-2.4
002202.SZ,2025-12-02,15.01,16.06,14.73,15.67,1363429,2099983847.55,4.19
002202.SZ,2025-12-03,15.52,16.39,15.1,15.29,2070595,3268837758.98,-2.43
002202.SZ,2025-12-04,14.9,15.36,14.58,15.03,1205528,1799862501.5,-1.7
002202.SZ,2025-12-05,15.02,16.38,14.99,15.85,1734387,2748554059.15,5.46
002202.SZ,2025-12-08,16.11,16.27,15.75,15.9,1056746,1682534080.59,0.32
002202.SZ,2025-12-09,15.78,15.97,15.51,15.59,723725,1134528162.99,-1.95
002202.SZ,2025-12-10,15.51,15.58,15.3,15.44,518727,799283325.61,-0.96
002202.SZ,2025-12-11,15.76,16.98,15.7,16.98,2424564,4057598261.21,9.97
002202.SZ,2025-12-12,16.82,16.98,16.4,16.98,2644377,4424595292.88,0.0
002202.SZ,2025-12-15,17.1,17.95,16.82,17.5,2574733,4485911624.24,3.06
002202.SZ,2025-12-16,17.2,17.28,16.25,16.39,1721331,2857462270.76,-6.34
002202.SZ,2025-12-17,16.31,16.58,16.12,16.52,1101857,1801866298.2,0.79
002202.SZ,2025-12-18,16.37,17.08,16.05,16.53,1223868,2031002386.68,0.06
002202.SZ,2025-12-19,16.42,16.75,16.06,16.2,1242108,2025442352.35,-2.0
002202.SZ,2025-12-22,16.51,17.19,16.51,16.89,1594487,2684861427.81,4.26
002202.SZ,2025-12-23,17.41,17.85,16.77,17.05,1943362,3358660548.34,0.95
002202.SZ,2025-12-24,16.77,17.7,16.61,17.43,1523708,2644136723.97,2.23
002202.SZ,2025-12-25,17.69,19.17,17.56,19.17,2665276,4982980388.87,9.98
002202.SZ,2025-12-26,19.95,20.39,19.42,19.69,3506219,6952541636.3,2.71
002202.SZ,2025-12-29,21.0,21.66,20.52,21.66,2203865,4670287376.56,10.01
002202.SZ,2025-12-30,22.01,22.78,19.54,20.2,6827394,14441032116.14,-6.74
002202.SZ,2025-12-31,19.6,20.88,19.45,20.4,4279626,8620825356.11,0.99
002202.SZ,2026-01-05,22.44,22.44,21.69,21.82,6487827,14418140742.79,6.96
002202.SZ,2026-01-06,21.21,24.0,20.8,24.0,6176228,13663631128.28,9.99
002202.SZ,2026-01-07,24.5,26.4,23.81,26.4,6801731,16845815443.14,10.0
002202.SZ,2026-01-08,26.0,29.04,25.53,29.04,6081267,16759890677.63,10.0
002202.SZ,2026-01-09,31.94,31.94,30.74,31.94,5632929,17893128946.1,9.99
002202.SZ,2026-01-12,33.99,35.13,33.55,35.13,3796194,13189513602.71,9.99
002202.SZ,2026-01-13,36.0,37.03,31.62,33.95,8963325,30088791029.09,-3.36
002202.SZ,2026-01-14,34.47,35.55,32.63,33.38,7550424,25760095916.05,-1.68
002202.SZ,2026-01-15,30.39,31.62,30.04,30.04,1807170,5476993213.23,-10.01
002202.SZ,2026-01-16,27.04,27.04,27.04,27.04,690435,1866936240.0,-9.99
002202.SZ,2026-01-19,24.34,28.51,24.34,27.7,7116452,18598306971.45,2.44
002202.SZ,2026-01-20,26.93,27.33,25.65,26.06,4990954,13149514163.99,-5.92
002202.SZ,2026-01-21,25.94,26.58,25.38,25.45,3336930,8667470983.33,-2.34
002202.SZ,2026-01-22,25.63,27.19,25.34,26.89,4304908,11402478112.74,5.66
002202.SZ,2026-01-23,27.69,29.58,27.69,29.58,3489662,10056922132.57,10.0
002202.SZ,2026-01-26,29.79,30.53,28.01,28.4,5769714,16880314060.74,-3.99
002202.SZ,2026-01-27,28.24,29.49,28.09,28.59,3403807,9808694858.55,0.67
002202.SZ,2026-01-28,28.31,28.76,27.25,27.71,3081180,8563373069.59,-3.08
002202.SZ,2026-01-29,27.48,28.47,26.81,26.9,2898894,8010026963.68,-2.92
002202.SZ,2026-01-30,26.91,27.63,25.78,26.11,2381310,6292249482.74,-2.94
002202.SZ,2026-02-02,26.1,26.8,25.53,25.63,2073522,5407860212.11,-1.84
002202.SZ,2026-02-03,26.01,27.4,25.47,27.16,3248801,8647014287.65,5.97
002202.SZ,2026-02-04,26.81,27.97,26.66,27.28,2976868,8107434233.8,0.44
002202.SZ,2026-02-05,25.53,25.94,24.56,24.82,3514464,8820903598.43,-9.02
002202.SZ,2026-02-06,24.76,26.07,24.76,25.51,2428441,6215858257.09,2.78
002202.SZ,2026-02-09,26.02,26.58,25.43,26.19,2255275,5857402781.78,2.67
002202.SZ,2026-02-10,26.2,26.33,25.52,25.67,1432205,3694226315.17,-1.99
002202.SZ,2026-02-11,25.65,26.13,25.4,25.46,1337457,3442629686.65,-0.82
002202.SZ,2026-02-12,25.2,25.6,25.05,25.13,1257804,3178851988.51,-1.3
002202.SZ,2026-02-13,25.05,25.29,24.85,24.9,1007794,2521739349.9,-0.92
002202.SZ,2026-02-24,25.23,26.65,25.03,26.08,2290205,5985785735.77,4.74
002202.SZ,2026-02-25,26.2,27.57,26.08,27.26,2608005,7059322404.23,4.52
002202.SZ,2026-02-26,27.0,28.73,26.62,28.38,3370775,9473116841.11,4.11
002202.SZ,2026-02-27,28.0,28.99,27.88,28.45,2618153,7448061534.47,0.25
002202.SZ,2026-03-02,28.08,29.58,28.07,28.11,3120822,8961568263.41,-1.2
002202.SZ,2026-03-03,28.12,28.25,26.26,26.33,2601843,7017266615.81,-6.33
002202.SZ,2026-03-04,25.87,27.98,25.87,27.01,2119125,5751431236.03,2.58
002202.SZ,2026-03-05,27.6,28.15,27.11,28.0,2415127,6698631898.55,3.67
002202.SZ,2026-03-06,27.88,28.98,27.72,28.47,2465203,7030157732.36,1.68
002202.SZ,2026-03-09,27.7,28.58,27.5,28.47,1972762,5538672034.99,0.0
002202.SZ,2026-03-10,28.59,29.2,28.23,28.48,2010059,5763492940.55,0.04
002202.SZ,2026-03-11,28.51,31.0,27.82,30.24,4343929,12789875618.93,6.18
002202.SZ,2026-03-12,29.94,33.0,29.15,31.29,4781429,14690731957.48,3.47
002202.SZ,2026-03-13,31.35,32.68,31.0,31.43,3941956,12534772375.98,0.45
002202.SZ,2026-03-16,31.9,33.3,29.39,31.01,4496377,14402035938.7,-1.34
002202.SZ,2026-03-17,30.01,30.7,28.5,28.55,3216179,9517518280.43,-7.93
002202.SZ,2026-03-18,28.56,31.41,28.2,31.0,4543151,13679729835.26,8.58
002202.SZ,2026-03-19,30.0,31.17,29.65,29.81,3161139,9581179569.88,-3.84
002202.SZ,2026-03-20,29.9,30.39,29.15,29.2,2412637,7170964097.78,-2.05
002202.SZ,2026-03-23,28.4,29.08,27.3,27.41,2435664,6853876678.32,-6.13
002202.SZ,2026-03-24,28.08,28.23,27.04,27.58,2044648,5646815711.88,0.62
002202.SZ,2026-03-25,27.85,28.78,27.83,28.31,1977758,5607516975.21,2.65
002202.SZ,2026-03-26,28.61,28.75,27.38,28.13,2113751,5946385535.03,-0.64
002202.SZ,2026-03-27,27.4,27.95,27.05,27.45,1468402,4039467188.46,-2.42
002202.SZ,2026-03-30,27.46,28.36,27.46,27.72,1939899,5414551196.17,0.98
002202.SZ,2026-03-31,27.75,27.98,26.0,26.3,2631421,7121209519.9,-5.12
002202.SZ,2026-04-01,26.53,26.61,25.05,25.42,2211044,5634329609.94,-3.35
002202.SZ,2026-04-02,25.4,25.69,23.9,24.01,2345841,5765785963.36,-5.55
002202.SZ,2026-04-03,23.9,24.44,22.93,24.22,2421140,5712791331.26,0.87
002202.SZ,2026-04-07,23.84,23.84,22.8,22.89,2285768,5296895007.59,-5.49
002202.SZ,2026-04-08,23.2,23.86,23.2,23.84,2777689,6560648060.51,4.15
002202.SZ,2026-04-09,23.42,24.2,23.01,23.84,2132337,5058621263.18,0.0
002202.SZ,2026-04-10,24.02,24.77,24.01,24.07,2016803,4906922880.63,0.96
002202.SZ,2026-04-13,23.79,24.3,23.7,24.14,1225553,2951494454.81,0.29
002202.SZ,2026-04-14,24.35,25.34,24.1,25.3,2797037,6936841260.07,4.81
002202.SZ,2026-04-15,25.43,25.95,24.84,25.02,2581314,6555546967.64,-1.11
002202.SZ,2026-04-16,25.1,25.2,24.8,24.99,1536268,3830583494.71,-0.12
002202.SZ,2026-04-17,24.99,25.6,24.8,25.39,1763846,4465281962.27,1.6
002202.SZ,2026-04-20,25.14,26.95,25.03,26.59,2803097,7312219053.96,4.73
002202.SZ,2026-04-21,26.4,26.69,25.89,26.13,1808333,4730705962.37,-1.73
002202.SZ,2026-04-22,25.88,26.37,25.69,26.23,1588431,4128754022.34,0.38
002202.SZ,2026-04-23,26.45,26.49,25.44,25.7,1585717,4099406423.81,-2.02
002202.SZ,2026-04-24,25.66,26.2,25.25,25.48,1582156,4069678260.58,-0.86
002202.SZ,2026-04-27,26.21,26.98,26.21,26.53,2412312,6418259785.51,4.12
002202.SZ,2026-04-28,26.45,26.5,25.4,25.51,1763623,4540471711.03,-3.84
002202.SZ,2026-04-29,25.23,25.89,25.07,25.73,1292192,3316064726.63,0.86
002202.SZ,2026-04-30,26.51,28.18,26.2,27.55,3493626,9489163559.8,7.07
002202.SZ,2026-05-06,28.0,28.35,27.7,27.94,3050494,8560143217.49,1.42
002202.SZ,2026-05-07,27.95,28.68,27.84,28.46,2650063,7482581451.74,1.86
002202.SZ,2026-05-08,28.09,28.92,28.01,28.49,2366480,6728896828.81,0.11
002202.SZ,2026-05-11,28.9,28.99,28.0,28.16,2246451,6366680745.65,-1.16
